date,fyrirtaeki,flokkur,n
2022-08-17,Maskína,Annað,0
2022-07-15,Maskína,Samfylkingin,97.337
2022-07-15,Maskína,Miðflokkurinn,53.58
2022-07-15,Maskína,Viðreisn,74.119
2022-07-15,Maskína,Sjálfstæðisflokkurinn,217.892
2022-07-15,Maskína,Framsóknarflokkurinn,160.73999999999998
2022-07-15,Maskína,Píratar,113.411
2022-07-15,Maskína,Flokkur Fólksins,61.617000000000004
2022-07-15,Maskína,Sósíalistaflokkurinn,45.543
2022-07-15,Maskína,Vinstri Græn,68.761
2022-07-15,Maskína,Annað,9.914291609902648e-14
2022-06-23,Maskína,Samfylkingin,222.306
2022-06-23,Maskína,Miðflokkurinn,77.973
2022-06-23,Maskína,Viðreisn,145.992
2022-06-23,Maskína,Sjálfstæðisflokkurinn,320.187
2022-06-23,Maskína,Framsóknarflokkurinn,303.597
2022-06-23,Maskína,Píratar,242.214
2022-06-23,Maskína,Flokkur Fólksins,104.517
2022-06-23,Maskína,Sósíalistaflokkurinn,101.199
2022-06-23,Maskína,Vinstri Græn,141.01500000000001
2022-06-23,Maskína,Annað,0
2022-05-15,Maskína,Samfylkingin,369.72
2022-05-15,Maskína,Miðflokkurinn,126.36
2022-05-15,Maskína,Viðreisn,203.57999999999998
2022-05-15,Maskína,Sjálfstæðisflokkurinn,437.58
2022-05-15,Maskína,Framsóknarflokkurinn,355.68
2022-05-15,Maskína,Píratar,365.04
2022-05-15,Maskína,Flokkur Fólksins,173.16
2022-05-15,Maskína,Sósíalistaflokkurinn,112.32000000000001
2022-05-15,Maskína,Vinstri Græn,196.56
2022-05-15,Maskína,Annað,0
2022-04-15,Maskína,Samfylkingin,177.58
2022-04-15,Maskína,Miðflokkurinn,57.37200000000001
2022-04-15,Maskína,Viðreisn,143.43
2022-04-15,Maskína,Sjálfstæðisflokkurinn,305.984
2022-04-15,Maskína,Framsóknarflokkurinn,211.73
2022-04-15,Maskína,Píratar,181.678
2022-04-15,Maskína,Flokkur Fólksins,105.182
2022-04-15,Maskína,Sósíalistaflokkurinn,62.836
2022-04-15,Maskína,Vinstri Græn,120.208
2022-04-15,Maskína,Annað,0
2022-03-15,Maskína,Samfylkingin,282.293
2022-03-15,Maskína,Miðflokkurinn,100.31899999999999
2022-03-15,Maskína,Viðreisn,198.305
2022-03-15,Maskína,Sjálfstæðisflokkurinn,571.585
2022-03-15,Maskína,Framsóknarflokkurinn,401.27599999999995
2022-03-15,Maskína,Píratar,317.288
2022-03-15,Maskína,Flokkur Fólksins,165.64299999999997
2022-03-15,Maskína,Sósíalistaflokkurinn,79.322
2022-03-15,Maskína,Vinstri Græn,216.969
2022-03-15,Maskína,Annað,2.59015031645049e-13
2022-02-15,Maskína,Samfylkingin,299.466
2022-02-15,Maskína,Miðflokkurinn,89.154
2022-02-15,Maskína,Viðreisn,208.02599999999998
2022-02-15,Maskína,Sjálfstæðisflokkurinn,500.634
2022-02-15,Maskína,Framsóknarflokkurinn,390.906
2022-02-15,Maskína,Píratar,258.318
2022-02-15,Maskína,Flokkur Fólksins,201.16799999999998
2022-02-15,Maskína,Sósíalistaflokkurinn,89.154
2022-02-15,Maskína,Vinstri Græn,249.174
2022-02-15,Maskína,Annað,0
2022-01-15,Maskína,Samfylkingin,190.404
2022-01-15,Maskína,Miðflokkurinn,57.275999999999996
2022-01-15,Maskína,Viðreisn,142.416
2022-01-15,Maskína,Sjálfstæðisflokkurinn,311.148
2022-01-15,Maskína,Framsóknarflokkurinn,275.544
2022-01-15,Maskína,Píratar,208.98000000000002
2022-01-15,Maskína,Flokkur Fólksins,131.58
2022-01-15,Maskína,Sósíalistaflokkurinn,57.275999999999996
2022-01-15,Maskína,Vinstri Græn,173.376
2022-01-15,Maskína,Annað,0
2021-12-15,Maskína,Samfylkingin,68.432
2021-12-15,Maskína,Miðflokkurinn,32.76
2021-12-15,Maskína,Viðreisn,60.42400000000001
2021-12-15,Maskína,Sjálfstæðisflokkurinn,171.808
2021-12-15,Maskína,Framsóknarflokkurinn,108.472
2021-12-15,Maskína,Píratar,93.912
2021-12-15,Maskína,Flokkur Fólksins,71.34400000000001
2021-12-15,Maskína,Sósíalistaflokkurinn,55.327999999999996
2021-12-15,Maskína,Vinstri Græn,65.52
2021-12-15,Maskína,Annað,8.08242361927114e-14
2021-11-15,Maskína,Samfylkingin,330.255
2021-11-15,Maskína,Miðflokkurinn,112.77000000000001
2021-11-15,Maskína,Viðreisn,289.98
2021-11-15,Maskína,Sjálfstæðisflokkurinn,593.385
2021-11-15,Maskína,Framsóknarflokkurinn,432.285
2021-11-15,Maskína,Píratar,284.61
2021-11-15,Maskína,Flokkur Fólksins,155.73000000000002
2021-11-15,Maskína,Sósíalistaflokkurinn,115.45499999999998
2021-11-15,Maskína,Vinstri Græn,370.53000000000003
2021-11-15,Maskína,Annað,0
2021-09-24,Maskína,Samfylkingin,805.368
2021-09-24,Maskína,Miðflokkurinn,320.98
2021-09-24,Maskína,Viðreisn,589.436
2021-09-24,Maskína,Sjálfstæðisflokkurinn,1248.904
2021-09-24,Maskína,Framsóknarflokkurinn,898.744
2021-09-24,Maskína,Píratar,595.2719999999999
2021-09-24,Maskína,Flokkur Fólksins,361.832
2021-09-24,Maskína,Sósíalistaflokkurinn,355.996
2021-09-24,Maskína,Vinstri Græn,612.78
2021-09-24,Maskína,Annað,46.688000000000045
2021-09-22,Maskína,Samfylkingin,102.843
2021-09-22,Maskína,Miðflokkurinn,62.40899999999999
2021-09-22,Maskína,Viðreisn,100.206
2021-09-22,Maskína,Sjálfstæðisflokkurinn,181.07399999999998
2021-09-22,Maskína,Framsóknarflokkurinn,117.786
2021-09-22,Maskína,Píratar,99.327
2021-09-22,Maskína,Flokkur Fólksins,49.224000000000004
2021-09-22,Maskína,Sósíalistaflokkurinn,58.014
2021-09-22,Maskína,Vinstri Græn,101.08500000000001
2021-09-22,Maskína,Annað,7.032000000000006
