year,decile,Total,Percent,Value per person
2021,6,229311579486.50018,0.09147579288413756,9952759.526323793
2021,7,306975783561.82526,0.12245719671212903,13323601.71709311
2021,8,420437255094.1563,0.1677186618917887,18248144.752350535
2021,9,582109702805.9253,0.2322122010975748,25265178.07317384
2021,10,660634262931.3198,0.26353681372478616,28673362.10639409
2022,1,8875205821.20582,0.0034723203198678333,366093.54540303675
2022,2,19857169785.169785,0.0077688850860635865,819088.800279247
2022,3,49452651420.65142,0.01934777061608909,2039873.4241080484
2022,4,91866346500.3465,0.03594163201297265,3789240.49250728
2022,5,128460666666.66666,0.05025873113890581,5298876.651679522
2022,6,226016864864.86484,0.08842645098189576,9322974.255037118
2022,7,318993901593.90155,0.12480262753702932,13157643.193940833
2022,8,427462144144.14417,0.16723955691703876,17632394.67657238
2022,9,598743415107.415,0.2342513479177065,24697579.305672362
2022,10,686258698544.6985,0.26849067747243066,28307499.01186728
2023,1,8473217451.614415,0.0033711521975818967,334012.04082365247
2023,2,18780647190.59,0.007472063641716729,740328.2556997004
2023,3,47808637855.56961,0.019021132821215696,1884529.8535838863
2023,4,89932271765.31235,0.03578043137998312,3545106.8970873677
2023,5,121045361225.92435,0.048159077450103754,4771388.751071163
2023,6,210941792061.48367,0.0839252491666485,8315270.894886616
2023,7,315162999203.3366,0.12539067283802532,12423643.929491352
2023,8,416331402446.22516,0.1656415087059439,16411029.305302737
2023,9,597535764262.6177,0.23773543123738647,23554705.308365565
2023,10,687436411678.148,0.27350328056139456,27098565.581762377
