year,decile,Total,Percent,Value per person
2010,2,32933153197.803375,0.02516955459539632,1771456.7908021826
2010,3,55226946904.685425,0.04220785197535377,2970628.0944911744
2010,4,70238009575.81877,0.05368023541725289,3778065.17001876
2010,5,87621594358.52722,0.06696584714183153,4713118.947798786
2010,6,113094808560.10892,0.08643405450466916,6083309.588516428
2010,7,141728518134.39798,0.10831770810048887,7623501.594018502
2010,8,181338798464.19775,0.13859033663720444,9754117.501167111
2010,9,234212148379.30032,0.1789994240797768,12598146.865650063
2010,10,384171374114.6956,0.29360754849958315,20664373.84297217
2011,1,8317290504.765265,0.0063521421424456515,448782.7391553049
2011,2,35001103776.914925,0.02673129983930142,1888582.732256781
2011,3,56057346981.99788,0.04281252842545709,3024731.3970753727
2011,4,70351242616.77843,0.05372916729834349,3795998.6303770803
2011,5,87305083186.25719,0.06667727883731038,4710536.483557634
2011,6,112139506883.16272,0.08564400715563508,6050801.644804549
2011,7,140252544299.3293,0.10711470240441467,7567719.435565171
2011,8,179719973526.29718,0.13725705709347807,9697295.285506781
2011,9,233684764325.2147,0.17847144315413926,12609116.944111299
2011,10,386538963172.1379,0.295210373649475,20856793.998388704
2012,1,9405888434.461012,0.007129234510215271,500606.1224365859
2012,2,36668968504.65264,0.027793405964669705,1951515.088060279
2012,3,57158739514.950676,0.043323718025126946,3042138.459468342
2012,4,71147266119.95497,0.05392638329320333,3786443.1144201686
2012,5,87983822143.92079,0.06668772498629223,4682481.221070824
2012,6,112262054153.82034,0.0850895177247479,5974881.800724911
2012,7,140254833644.44165,0.1063067680644623,7464333.882088433
2012,8,180072203527.75854,0.1364865187021718,9583916.308891295
2012,9,233289937121.16443,0.1768231339547524,12415643.274143929
2012,10,391096872557.45013,0.2964335947743581,20815204.24490128
2013,1,10287904046.5229,0.007534746324662739,536946.9752882515
2013,2,38290079961.23092,0.028043228042784495,1998334.1141501444
2013,3,58840149368.65627,0.0430938699654699,3070828.7338164123
