land,time,name,value,value_trend
Belgía,2021-04-01,foreign_country,10.7,11.575
Belgía,2021-04-01,reporting_country,4.7,4.75
Belgía,2021-04-01,p,1.2765957446808507,1.4363301348908357
Belgía,2021-07-01,foreign_country,11,11.2
Belgía,2021-07-01,reporting_country,5.1,4.85
Belgía,2021-07-01,p,1.1568627450980395,1.310652204144069
Belgía,2021-10-01,foreign_country,9.9,11
Belgía,2021-10-01,reporting_country,4.4,4.825
Belgía,2021-10-01,p,1.25,1.2787077596996246
Belgía,2022-01-01,foreign_country,10.2,10.45
Belgía,2022-01-01,reporting_country,3.9,4.525
Belgía,2022-01-01,p,1.6153846153846154,1.3247107762908765
Belgía,2022-04-01,foreign_country,9.3,10.1
Belgía,2022-04-01,reporting_country,4.5,4.475
Belgía,2022-04-01,p,1.0666666666666669,1.2722285067873305
Belgía,2022-07-01,foreign_country,9,9.6
Belgía,2022-07-01,reporting_country,4.3,4.275
Belgía,2022-07-01,p,1.0930232558139537,1.256268634466309
Belgía,2022-10-01,foreign_country,9.4,9.475
Belgía,2022-10-01,reporting_country,4.4,4.275
Belgía,2022-10-01,p,1.1363636363636362,1.227859543557218
Belgía,2023-01-01,foreign_country,9.5,9.3
Belgía,2023-01-01,reporting_country,4.4,4.4
Belgía,2023-01-01,p,1.1590909090909087,1.1137861169837913
Belgía,2023-04-01,foreign_country,9.1,9.25
Belgía,2023-04-01,reporting_country,4.2,4.325
Belgía,2023-04-01,p,1.1666666666666665,1.1387861169837912
Belgía,2023-07-01,foreign_country,8.3,9.075
Belgía,2023-07-01,reporting_country,4.3,4.325
Belgía,2023-07-01,p,0.9302325581395352,1.0980884425651867
Belgía,2023-10-01,foreign_country,9,8.975
Belgía,2023-10-01,reporting_country,4.3,4.3
Belgía,2023-10-01,p,1.0930232558139537,1.0872533474277661
Belgía,2024-01-01,foreign_country,9.6,9
Belgía,2024-01-01,reporting_country,4.3,4.275
Belgía,2024-01-01,p,1.2325581395348837,1.1056201550387597
Belgía,2024-04-01,foreign_country,8.6,8.875
Belgía,2024-04-01,reporting_country,4.1,4.25
Belgía,2024-04-01,p,1.0975609756097562,1.0883437322745322
Búlgaría,2006-10-01,reporting_country,8.1,8.675
Búlgaría,2007-01-01,reporting_country,7.7,8.25
Búlgaría,2007-04-01,reporting_country,6.7,7.75
Búlgaría,2007-07-01,reporting_country,6.3,7.2
Búlgaría,2007-10-01,reporting_country,5.9,6.65
Búlgaría,2008-01-01,reporting_country,6.3,6.3
Búlgaría,2008-04-01,reporting_country,5.6,6.025
Búlgaría,2008-07-01,reporting_country,4.9,5.675
Búlgaría,2008-10-01,reporting_country,4.8,5.4
Búlgaría,2009-01-01,reporting_country,6.2,5.375
Búlgaría,2009-04-01,reporting_country,6.1,5.5
Búlgaría,2009-07-01,reporting_country,6.3,5.85
Búlgaría,2009-10-01,reporting_country,7.6,6.55
Búlgaría,2010-01-01,reporting_country,10,7.5
Búlgaría,2010-04-01,reporting_country,9.8,8.425
Búlgaría,2010-07-01,reporting_country,9.3,9.175
Búlgaría,2010-10-01,reporting_country,11,10.025
Búlgaría,2011-01-01,reporting_country,12,10.525
Búlgaría,2011-04-01,reporting_country,11.1,10.85
Búlgaría,2011-07-01,reporting_country,10,11.025
Búlgaría,2011-10-01,reporting_country,11.2,11.075
