year,country,dwellings,population,new_dwellings,new_by_pop,rolling
2007,Netherlands,7089600,16413311.2,66800,4.069867389098185,41.77020457637924
2008,Netherlands,7156400,16467203.8,66800,4.0565478396520485,40.52334214729806
2009,Netherlands,7223200,16521096.4,66800,4.043315188209905,39.29281844910541
2010,Netherlands,7290000,16574989,66800,4.03016858714054,38.078391585554286
2011,Netherlands,7339000,16655799,49000,2.9419183072514263,37.422074828358575
2012,Netherlands,7386743,16730348,47743,2.8536764447457994,36.69732714077061
2013,Netherlands,7449298,16779575,62555,3.728044363459742,36.86654135097423
2014,Netherlands,7535315,16829289,86017,5.1111487835285265,38.438240551717534
2015,Netherlands,7587964,16900726,52649,3.115191619578946,38.03315321801401
2016,Netherlands,7641323,16979120,53359,3.1426245883178865,37.09250311098301
2017,Netherlands,7686178,17081507,44855,2.6259392687073806,35.64857499059221
2018,Netherlands,7740984,17181084,54806,3.189903500850121,34.781930651790276
2019,Netherlands,7814911,17282163,73927,4.277647421795524,35.016262885375895
2020,Netherlands,7891786,17407585,76875,4.416178349840027,35.40227264807538
2021,Netherlands,7966331,17475415,74545,4.265706994655062,36.72606133547902
2022,Netherlands,8045580,17590672,79249,4.50517183198004,38.37755672271326
1971,New Zealand,886583,2860900,18270.800000000047,6.386381907791271,68.54947548323686
1972,New Zealand,912839.6,2909200,26256.599999999977,9.02536779870754,70.1302461753413
1973,New Zealand,939096.2,2973200,26256.599999999977,8.831091080317496,71.6737072070018
1974,New Zealand,965352.8,3040600,26256.600000000093,8.635335131224132,73.17521334194345
1975,New Zealand,991609.4,3102500,26256.599999999977,8.463045930701039,74.63061348923696
1976,New Zealand,1017866,3140300,26256.599999999977,8.3611756838518545,76.10954171343549
1977,New Zealand,1036091.8,3155400,18225.800000000047,5.776066425809738,75.18294113018399
1978,New Zealand,1054317.6,3160200,18225.800000000047,5.767293209290567,74.312823797098
1979,New Zealand,1072543.4,3158200,18225.799999999814,5.770945475270665,73.504912870237
1980,New Zealand,1090769.2,3161300,18225.800000000047,5.765286432796649,72.78198907576095
1981,New Zealand,1108995,3170900,18225.800000000047,5.7478318458481965,72.14343901381787
1982,New Zealand,1127852.4,3188400,18857.399999999907,5.914377117049274,69.0324483321596
1983,New Zealand,1146709.8,3226600,18857.40000000014,5.844356288353108,66.04571354019522
1984,New Zealand,1165567.2,3260300,18857.399999999907,5.783946262613841,63.19432467158494
1985,New Zealand,1184424.6,3284400,18857.40000000014,5.741505297771325,60.47278403865522
1986,New Zealand,1203282,3289000,18857.399999999907,5.733475220431714,57.84508357523508
1987,New Zealand,1222965.6,3315400,19683.600000000093,5.937021173915694,58.00603832334103
1988,New Zealand,1242649.2,3339200,19683.59999999986,5.894705318639153,58.13345043268962
1989,New Zealand,1262332.8,3347100,19683.600000000093,5.880792327686682,58.24329728510564
1990,New Zealand,1282016.4,3373400,19683.59999999986,5.834943973439218,58.31295482574821
1991,New Zealand,1301700,3488000,19683.600000000093,5.643233944954155,58.208356924854165
1992,New Zealand,1318600,3526500,16900,4.792286970083652,57.08626677788855
1993,New Zealand,1334500,3564400,15900,4.460778812703401,55.70268930223884
1994,New Zealand,1351500,3611500,17000,4.7071853800359955,54.625928419660994
1995,New Zealand,1371100,3663700,19600,5.349783006250512,54.23420612814017
1996,New Zealand,1391200,3723400,20100,5.398291883762154,53.899022791470614
1997,New Zealand,1414100,3775200,22900,6.0659037931765205,54.02790541073145
1998,New Zealand,1438700,3811200,24600,6.454659949622166,54.587860041714464
1999,New Zealand,1460900,3833000,22200,5.791807983302896,54.49887569733067
2000,New Zealand,1486600,3855900,25700,6.665110609714983,55.32904233360644
2001,New Zealand,1508600,3876200,22000,5.675661730560859,55.36147011921314
2002,New Zealand,1526800,3935700,18200,4.624336204487131,55.193519353616615
2003,New Zealand,1549600,4013300,22800,5.6811103082251515,56.41385084913837
2004,New Zealand,1577700,4078700,28100,6.889450069875205,58.59611553897757
2005,New Zealand,1607400,4126600,29700,7.197208355546939,60.443540888274
2006,New Zealand,1632600,4176100,25200,6.034338258183472,61.07958726269532
2007,New Zealand,1655400,4219400,22800,5.403611887946154,60.41729535746496
2008,New Zealand,1678200,4255600,22800,5.357646395337908,59.3202818031807
2009,New Zealand,1696600,4293500,18400,4.285547921276348,57.81402174115415
2010,New Zealand,1708500,4345700,11900,2.7383390477943714,53.88725017923354
2011,New Zealand,1722700,4382500,14200,3.240159726183685,51.45174817485636
2012,New Zealand,1734500,4406500,11800,2.6778622489504142,49.50527421931964
2013,New Zealand,1749400,4436000,14900,3.3588818755635708,47.183045786658056
2014,New Zealand,1766000,4501100,16600,3.687987380862456,43.98158309764531
2015,New Zealand,1786100,4591900,20100,4.377273024238333,41.16164776633671
2016,New Zealand,1808000,4695000,21900,4.664536741214057,39.791846249367296
2017,New Zealand,1833100,4796700,25100,5.2327641920487,39.620998553469846
2018,New Zealand,1858200,4886100,25100,5.137021346267985,39.40037350439992
2019,New Zealand,1888100,4965300,29900,6.021791231144141,41.13661681426772
2020,New Zealand,1919800,5082800,31700,6.236719918155348,44.634997684628686
2021,New Zealand,1954000,5112000,34200,6.690140845070422,48.08497880351543
