year,new_dwellings,population,dwellings,new_by_pop,rolling,population_adult,new_by_adult,rolling_adult,country
2016,33760,5503297,2968200,6.134504461598202,49.62374304817407,4352183,7.757026761053017,63.40757291373133,Finnland
2017,34465,5513130,3002665,6.251439744754794,49.83799826411979,4371154,7.8846455649926765,63.50961386470958,Finnland
2018,39704,5517919,3042369,7.195466261828055,50.27456897454025,4385380,9.05371940401972,63.86511575095413,Finnland
2019,33259,5525292,3075628,6.01941037686334,53.30412262720647,4399339,7.559999354448475,67.58532552587157,Finnland
2020,48658,5533793,3124286,8.792884012828091,57.72420792235011,4416388,11.017600808624604,73.00039500572733,Finnland
2021,33385,5548241,3157671,6.017222395350166,58.46581628121588,4432697,7.531532157510428,73.7828568627709,Finnland
2007,389000,61795238,31449000,6.294983441928001,55.199488019837666,48519804,8.01734483511104,70.7590353834866,Frakkland
2008,370000,62134866,31819000,5.9547887332693366,56.608741276849294,48869988,7.5711088777022,72.45245980625354,Frakkland
2009,355000,62465709,32174000,5.683118076831562,57.89844259295319,49178076,7.218663861514225,74.00237699016066,Frakkland
2010,346000,62765235,32520000,5.5126058239087286,57.787362825943895,49438976,6.998526830329172,73.76313285452598,Frakkland
2011,340000,63070344,32860000,5.390806176671559,57.42450401925856,49728790,6.8370857203644,73.20941803220188,Frakkland
2012,352000,63375971,33212000,5.554155533175185,57.43296106173999,49998571,7.040201208950552,73.13822182169594,Frakkland
2013,363000,63697865,33575000,5.69877813016182,57.57450509652692,50234326,7.226134575787879,73.24429168419624,Frakkland
2014,368000,64027958,33943000,5.747489245245022,57.62002591814921,50607766,7.271611238480671,73.21939383698978,Frakkland
2015,364000,64300821,34307000,5.660891950353169,57.57256209542566,50851168,7.1581443321026565,73.0850003401526,Frakkland
2016,339000,64468792,34646000,5.258358183599904,56.75597529514428,51046774,6.640968144235716,71.97978962457852,Frakkland
2017,335000,64639133,34981000,5.182619018110902,55.64361087132718,51240408,6.5378089885623085,70.50025377802979,Frakkland
2018,329000,64844037,35310000,5.073712483385327,54.76253462144317,51479439,6.39090103526575,69.32004593559334,Frakkland
2019,321000,65096768,35631000,4.93112038987865,54.01053693449026,51777619,6.19958982663919,68.3009719007183,Frakkland
2020,315000,65284389,35946000,4.825043242726833,53.32297435330837,52074476,6.049028702660397,67.35147377304952,Frakkland
2021,285000,65447454,36231000,4.354638455454661,52.28680663209147,52397302,5.439211354813651,65.95359940749877,Frakkland
2022,306000,65627454,36537000,4.66268278516488,51.395333884081175,52675034,5.809203654239692,64.72260185278792,Frakkland
2007,164460,82217837,39918193,2.000295872536759,34.84535754603387,66923486,2.4574332544482216,43.5617637252928,Þýskaland
2008,139089,82002356,40057282,1.6961585835411852,30.70543075586489,67110974,2.0725224461799647,38.29944536896251,Þýskaland
2009,126281,81802257,40183563,1.543734911861906,26.709550893643783,67165168,1.880156095195057,33.206174423128935,Þýskaland
2010,295707,81751602,40479270,3.6171401265017415,25.47197143382155,67245871,4.397400102082104,31.514092424496397,Þýskaland
2011,151032,80327900,40630302,1.8801935566596415,23.735536139660177,66122410,2.284127272433053,29.260304416025292,Þýskaland
2012,175503,80523746,40805805,2.1795185733162485,22.970485098594065,66351034,2.645068048223634,28.22362142718236,Þýskaland
2013,189336,80767463,40995141,2.344211306971472,22.688952889479452,66620402,2.8420122712558835,27.794419822031912,Þýskaland
2014,226069,81197537,41221210,2.7841854365607173,22.79773555533656,66882337,3.380100189979905,27.85109918761229,Þýskaland
2015,225059,82175684,41446269,2.738754203737446,23.244621792125027,67241824,3.347009147164122,28.339640980227983,Þýskaland
2016,257078,82521653,41703347,3.115279331595551,23.89947190328267,67960337,3.782765232609132,29.08859405957108,Þýskaland
2017,264719,82792351,41968066,3.1973847439119107,25.09656077465782,68183533,3.882447687185702,30.51360849230856,Þýskaland
2018,267336,83019213,42235402,3.2201702514332435,26.62057244254988,68398065,3.9085316229340696,32.34961766906267,Þýskaland
2019,277369,83166711,42512771,3.335096418565837,28.41193394925381,68572054,4.044927690222026,34.51438926408964,Þýskaland
2020,290966,83155031,42803737,3.4990787268181043,28.29387254957017,68673353,4.236956363554871,34.353945525562395,Þýskaland
2021,280319,83237124,43084056,3.3677160686138077,29.781395061524336,68611583,4.085592953014944,36.15541120614429,Þýskaland
2007,45046.39999999991,4309528.8,1814659.4,10.45274369671225,129.52893716117035,3229439,13.948676534840851,141.50832865235265,Írland
2008,45046.40000000014,4379209.6,1859705.8,10.286422463085607,130.81284319025966,3315509,13.586571473641044,155.0949001259937,Írland
2009,45046.39999999991,4448890.4,1904752.2,10.125311246148009,132.05144850305498,3354565,13.428387883376804,168.5232880093705,Írland
